genre,label
brazilian ska,1391
punta,1392
deep punk rock,1393
neo-traditional country,1394
gamelan,1395
pinoy reggae,1396
mantra,1397
american post-rock,1398
modern jazz trio,1399
nz folk,1400
psychedelic trance,1401
classical saxophone,1402
arabic hip hop,1403
australian post-punk,1404
messianic praise,1405
neo-traditional bluegrass,1406
punjabi folk,1407
deep psychobilly,1408
binaural,1409
polca paraguaya,1410
duduk,1411
icelandic classical,1412
chihuahua indie,1413
guam indie,1414
kolsche karneval,1415
jazz chileno,1416
electric bass,1417
hauntology,1418
guatemalan pop,1419
swedish eurodance,1420
rap chileno,1421
acid rock,1422
musica de fondo,1423
russian metal,1424
lute,1425
glam punk,1426
experimental ambient,1427
tucson indie,1428
faroese pop,1429
proto-techno,1430
nordic folk,1431
essex indie,1432
samba-rock,1433
focus beats,1434
malaysian indie,1435
chattanooga indie,1436
dabke,1437
motivation,1438
coverchill,1439
texas pop punk,1440
australian underground hip hop,1441
harmonica jazz,1442
alabama indie,1443
speed garage,1444
classic thai pop,1445
neofolk,1446
vancouver indie,1447
brazilian boogie,1448
australian talent show,1449
polynesian traditional,1450
dubstep,1451
nepali indie,1452
dutch indie,1453
canadian classical,1454
college a cappella,1455
mallet,1456
irish accordion,1457
classic french pop,1458
dutch trance,1459
kentucky indie,1460
turkish trap pop,1461
japanese jazztronica,1462
canadian americana,1463
instrumental acoustic guitar,1464
polish post-rock,1465
dub,1466
jordanian pop,1467
folklore ecuatoriano,1468
eastern bloc groove,1469
indonesian indie,1470
pop nacional,1471
italian library music,1472
rap espanol,1473
semba,1474
liedermacher,1475
anadolu rock,1476
deep minimal techno,1477
czech hip hop,1478
deep latin alternative,1479
appalachian folk,1480
wyoming roots,1481
bay area hip hop,1482
deep groove house,1483
swedish doom metal,1484
islamic recitation,1485
french movie tunes,1486
dinner jazz,1487
louvor,1488
deep indie singer-songwriter,1489
charanga,1490
canadian folk,1491
footwork,1492
turkish modern jazz,1493
future garage,1494
electroclash,1495
experimental poetry,1496
space ambient,1497
fo jing,1498
inuit traditional,1499
drone ambient,1500
salsa choke,1501
substep,1502
nz punk,1503
riddim,1504
keroncong,1505
pittsburgh indie,1506
psychedelic punk,1507
anarcho-punk,1508
indonesian hip hop,1509
latin ska,1510
traditional british folk,1511
welsh metal,1512
danish jazz,1513
malian blues,1514
chicha,1515
japanese vgm,1516
vintage hawaiian,1517
gospel reggae,1518
christian punk,1519
pinoy pop punk,1520
vintage gospel,1521
bard,1522
vbs,1523
salsa cubana,1524
bay area indie,1525
deep g funk,1526
telugu worship,1527
progressive alternative,1528
paisley underground,1529
atlanta indie,1530
tabla,1531
south african pop,1532
lo star,1533
dutch jazz,1534
garage rock,1535
guitar case,1536
harp,1537
gainesville indie,1538
canadian indie folk,1539
british contemporary classical,1540
milwaukee indie,1541
folk rock italiano,1542
cape breton folk,1543
slow game,1544
r&b en espanol,1545
glitch,1546
brass ensemble,1547
irish indie,1548
animal singing,1549
mizrahi,1550
deep acoustic pop,1551
doujin,1552
russian punk,1553
arabesk,1554
